emp_no,first_name,title,to_date
10001,Georgi,Senior Engineer,9999-01-01
10004,Chirstian,Senior Engineer,9999-01-01
10005,Kyoichi,Senior Staff,9999-01-01
10006,Anneke,Senior Engineer,9999-01-01
10009,Sumant,Senior Engineer,9999-01-01
10018,Kazuhide,Senior Engineer,9999-01-01
10019,Lillian,Staff,9999-01-01
10020,Mayuko,Engineer,9999-01-01
10022,Shahaf,Engineer,9999-01-01
10023,Bojan,Engineer,9999-01-01
10026,Yongqiao,Senior Engineer,9999-01-01
10035,Alain,Senior Engineer,9999-01-01
10047,Zvonko,Senior Engineer,9999-01-01
10051,Hidefumi,Senior Engineer,9999-01-01
10053,Sanjiv,Senior Staff,9999-01-01
10057,Ebbe,Senior Engineer,9999-01-01
10058,Berhard,Senior Staff,9999-01-01
10059,Alejandro,Senior Staff,9999-01-01
10063,Gino,Senior Engineer,9999-01-01
10066,Kwee,Senior Engineer,9999-01-01
10067,Claudi,Senior Engineer,9999-01-01
10070,Reuven,Technique Leader,9999-01-01
10072,Hironoby,Senior Engineer,9999-01-01
10074,Mokhtar,Technique Leader,9999-01-01
10076,Erez,Senior Engineer,9999-01-01
10088,Jungsoon,Senior Staff,9999-01-01
10091,Amabile,Senior Engineer,9999-01-01
10096,Jayson,Engineer,9999-01-01
10097,Remzi,Senior Staff,9999-01-01
10100,Hironobu,Senior Staff,9999-01-01
10103,Akemi,Engineer,9999-01-01
10106,Eben,Senior Engineer,9999-01-01
10126,Kayoko,Senior Staff,9999-01-01
10127,Subir,Senior Engineer,9999-01-01
10129,Armond,Technique Leader,9999-01-01
10130,Nishit,Senior Engineer,9999-01-01
10134,Diederik,Senior Engineer,9999-01-01
10138,Perry,Senior Engineer,9999-01-01
10150,Zhenbing,Senior Engineer,9999-01-01
10153,Heekeun,Assistant Engineer,9999-01-01
10157,Nigel,Senior Engineer,9999-01-01
10159,Serif,Senior Engineer,9999-01-01
10160,Debatosh,Senior Staff,9999-01-01
10163,Karsten,Senior Staff,9999-01-01
10166,Samphel,Engineer,9999-01-01
10183,Mechthild,Staff,9999-01-01
10194,Josyula,Senior Staff,9999-01-01
10196,Marc,Staff,9999-01-01
10198,Pranav,Senior Engineer,9999-01-01
10203,Steen,Senior Staff,9999-01-01
10205,Mabhin,Senior Engineer,9999-01-01
10207,Girolamo,Senior Engineer,9999-01-01
10215,Xiaobin,Senior Staff,9999-01-01
10219,Genta,Senior Staff,9999-01-01
10224,Leon,Senior Engineer,9999-01-01
10228,Karoline,Senior Staff,9999-01-01
10230,Clyde,Senior Staff,9999-01-01
10233,Lein,Senior Staff,9999-01-01
10239,Nikolaos,Staff,9999-01-01
10240,Remko,Engineer,9999-01-01
10248,Frederique,Senior Staff,9999-01-01
10249,Marie,Senior Engineer,9999-01-01
10258,Basil,Senior Engineer,9999-01-01
10262,Mahendra,Staff,9999-01-01
10272,Yishai,Staff,9999-01-01
10281,Moty,Senior Engineer,9999-01-01
10282,Hercules,Engineer,9999-01-01
10283,Kauko,Senior Engineer,9999-01-01
10284,Masali,Engineer,9999-01-01
10295,Kristine,Senior Staff,9999-01-01
10298,Dietrich,Staff,9999-01-01
10306,Heng,Staff,9999-01-01
10307,Nikolaos,Engineer,9999-01-01
10322,Isamu,Senior Engineer,9999-01-01
10325,Arunachalam,Senior Staff,9999-01-01
10326,Masali,Staff,9999-01-01
10328,Serenella,Engineer,9999-01-01
10333,Snehasis,Senior Engineer,9999-01-01
